street,candidate,link_count,full,first,last,alias,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,occ10,occ11,occ12,occ13,occ14,occ15,occ16,occ17,occ18,occ19,occ20,rel_born,rel_died,rel_buried,rel_edu,rel_work,district,proba
Martin-Luther-Platz,Q9554,6883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,Q2880,1.0
Nikolaus-Groß-Straße,Q68294,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.0,0.0,0.0,Q3939,1.0
Albert-Einstein-Straße,Q937,2225,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.1666666666666666,Q2596714,1.0
Max-Planck-Straße,Q9021,543,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,Q2596714,1.0
Mozartstraße,Q254,6979,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q3939,1.0
Eichendorffweg,Q77204,747,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,Q2596714,1.0
Adam-Stegerwald-Straße,Q63434,92,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q16138,1.0
Petra-Kelly-Allee,Q61227,144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0,0.6666666666666666,Q1342525,1.0
Charles-de-Gaulle-Straße,Q2042,1597,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1666666666666666,Q1342525,1.0
Heinrich-Leven-Straße,Q1598180,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.0,0.0,0.0,0.0,Q2805,1.0
Clara-Schumann-Weg,Q132232,866,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.0,0.0,Q204966,1.0
Theodor-Storm-Straße,Q26993,838,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,Q3813,1.0
Thomas-Mann-Straße,Q37030,3712,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.2,0.2,Q3813,1.0
Goethestraße,Q5879,8538,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.2,0.0,Q3813,1.0
Gerhart-Hauptmann-Straße,Q43523,2067,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.2,0.0,Q2834,1.0
Ludwig-Uhland-Straße,Q61058,485,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q242195,1.0
Richard-Wagner-Straße,Q1511,6010,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0.0,0.2,0.2,0.0,Q4171,1.0
Franz-Liszt-Straße,Q41309,2520,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.2,0.0,0.0,Q4171,1.0
Wilhelm-Raabe-Straße,Q60647,563,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,0.0,Q242195,1.0
Ricarda-Huch-Straße,Q60785,396,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,0.0,Q242195,1.0
Goethestraße,Q5879,8538,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.2,0.0,Q518491,1.0
