osm_id	name	street_type	wikipedia	wikidata	etymology_wikidata	etymology_wikipedia	etymology_description	local_name	geometry	name_de	name_en	name_fr	name_es	name_ru
27664699	Eichendorffstraße	residential							LINESTRING(8.5736504 53.5594914,8.5739384 53.5594967,8.5769117 53.5595641,8.5774461 53.5596343,8.5777089 53.5596689,8.578096 53.559676,8.5784415 53.5596824)					
27664700	Eichendorffstraße	cycleway							LINESTRING(8.5730613 53.5593608,8.57322 53.5593838,8.5736504 53.5594914)					
27664739	Rainer-Maria-Rilke-Weg	cycleway							LINESTRING(8.5787619 53.5624526,8.5786884 53.5623723,8.5777145 53.5623377)					
27664741	Bütteler Straße	residential							LINESTRING(8.5787619 53.5624526,8.5787434 53.5626021,8.5786876 53.563053,8.5787561 53.5635947)					
27664777	Bütteler Straße	residential							LINESTRING(8.5787619 53.5624526,8.579735 53.5624889,8.5797992 53.5624975,8.5800887 53.5625372,8.581112 53.5626784)					
27664792	Brockmannweg	cycleway							LINESTRING(8.579735 53.5624889,8.579774 53.562393,8.5798454 53.5616755)					
27664815	Körnerstraße	residential							LINESTRING(8.5785515 53.5609991,8.5785365 53.5606868,8.5784862 53.5602171,8.5784415 53.5596824,8.5783674 53.5588567,8.578364 53.5588185,8.5783542 53.5583284,8.5783497 53.5578273,8.578309 53.5572555,8.5782723 53.5567547,8.5782453 53.5561432,8.5782121 53.5555697,8.5782229 53.5549619)					
27664890	Jahnstraße	residential							LINESTRING(8.5836072 53.5616674,8.5835517 53.5607922,8.5835491 53.560729)					
27664952	Weichselstraße	cycleway							LINESTRING(8.5850062 53.5634,8.5852694 53.5626035,8.5852995 53.5622498,8.5851913 53.5618947,8.5851993 53.5616334,8.5851719 53.561416,8.5851264 53.5610443,8.5850948 53.5606995)					
27665301	Lessingstraße	residential							LINESTRING(8.5820857 53.5617052,8.5823386 53.5616959,8.5836072 53.5616674,8.5847962 53.5616373)					
27666075	Marienstraße	residential							LINESTRING(8.5809562 53.5498603,8.5806156 53.5499356,8.5803487 53.5499946,8.5801931 53.550029,8.580051 53.5500604)					
27666267	Hardenbergstraße	residential							LINESTRING(8.5693607 53.5567953,8.5697844 53.5568328,8.570172 53.5568495,8.5706374 53.5568361,8.5709929 53.5567856)					
